Error processing line 1 of C:\Users\sayet\AppData\Local\Programs\Python\Python311\Lib\site-packages\google_generativeai-0.8.6-py3.13-nspkg.pth:

  Traceback (most recent call last):
    File "<frozen site>", line 186, in addpackage
    File "<string>", line 1, in <module>
    File "<frozen importlib._bootstrap>", line 570, in module_from_spec
  AttributeError: 'NoneType' object has no attribute 'loader'

Remainder of file ignored
Error processing line 7 of C:\Users\sayet\AppData\Local\Programs\Python\Python311\Lib\site-packages\pywin32.pth:

  Traceback (most recent call last):
    File "<frozen site>", line 186, in addpackage
    File "<string>", line 1, in <module>
  ModuleNotFoundError: No module named 'pywin32_bootstrap'

Remainder of file ignored
C:\Users\sayet\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\connectionpool.py:1097: InsecureRequestWarning: Unverified HTTPS request is being made to host 'vsedliarybalky.com.ua'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#tls-warnings
  warnings.warn(
C:\Users\sayet\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\connectionpool.py:1097: InsecureRequestWarning: Unverified HTTPS request is being made to host 'vsedliarybalky.com.ua'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#tls-warnings
  warnings.warn(
C:\Users\sayet\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\connectionpool.py:1097: InsecureRequestWarning: Unverified HTTPS request is being made to host 'vsedliarybalky.com.ua'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#tls-warnings
  warnings.warn(
[1/1500] uploaded article 4325 with 1 files
[3/1500] uploaded article 4327 with 1 files
[4/1500] uploaded article 4329 with 1 files
[5/1500] uploaded article 433 with 1 files
[7/1500] uploaded article 4337 with 1 files
[6/1500] uploaded article 4330 with 1 files
[2/1500] uploaded article 4326 with 1 files
[8/1500] uploaded article 4338 with 1 files
[10/1500] uploaded article 434 with 1 files
[9/1500] uploaded article 4339 with 1 files
[11/1500] uploaded article 4340 with 1 files
[12/1500] uploaded article 4341 with 1 files
[13/1500] uploaded article 4342 with 1 files
[14/1500] uploaded article 4344 with 1 files
[15/1500] uploaded article 4345 with 1 files
[16/1500] uploaded article 4348 with 1 files
[17/1500] uploaded article 435 with 1 files
[18/1500] uploaded article 4351 with 1 files
[19/1500] uploaded article 4352 with 1 files
[20/1500] uploaded article 4353 with 1 files
[21/1500] uploaded article 4354 with 1 files
[22/1500] uploaded article 4355 with 1 files
[23/1500] uploaded article 4357 with 1 files
[24/1500] uploaded article 4358 with 1 files
[25/1500] uploaded article 436 with 1 files
[26/1500] uploaded article 4362 with 1 files
[27/1500] uploaded article 4365 with 1 files
[28/1500] uploaded article 4366 with 1 files
[29/1500] uploaded article 437 with 1 files
[31/1500] uploaded article 4371 with 1 files
[30/1500] uploaded article 4370 with 1 files
[32/1500] uploaded article 4372 with 1 files
[33/1500] uploaded article 4373 with 1 files
[34/1500] uploaded article 4374 with 1 files
[35/1500] uploaded article 4377 with 1 files
[36/1500] uploaded article 4378 with 1 files
[37/1500] uploaded article 438 with 1 files
[39/1500] uploaded article 4381 with 1 files
[38/1500] uploaded article 4380 with 1 files
[40/1500] uploaded article 4382 with 1 files
[41/1500] uploaded article 4383 with 1 files
[42/1500] uploaded article 4384 with 1 files
[43/1500] uploaded article 4385 with 1 files
[45/1500] uploaded article 4387 with 1 files
[44/1500] uploaded article 4386 with 1 files
[46/1500] uploaded article 4388 with 1 files
[47/1500] uploaded article 4389 with 1 files
[48/1500] uploaded article 439 with 1 files
[49/1500] uploaded article 4390 with 1 files
[50/1500] uploaded article 4391 with 1 files
[51/1500] uploaded article 4392 with 1 files
[52/1500] uploaded article 4393 with 1 files
[54/1500] uploaded article 4397 with 1 files
[53/1500] uploaded article 4394 with 1 files
[55/1500] uploaded article 4398 with 1 files
[56/1500] uploaded article 4399 with 1 files
[58/1500] uploaded article 4401 with 1 files
[57/1500] uploaded article 440 with 1 files
[60/1500] uploaded article 4406 with 1 files
[59/1500] uploaded article 4402 with 1 files
[61/1500] uploaded article 4407 with 1 files
[62/1500] uploaded article 4408 with 1 files
[63/1500] uploaded article 4409530 with 1 files
[64/1500] uploaded article 4409531 with 1 files
[65/1500] uploaded article 4409532 with 1 files
[66/1500] uploaded article 4409533 with 1 files
[67/1500] uploaded article 441 with 1 files
[68/1500] uploaded article 4410 with 1 files
[69/1500] uploaded article 4412 with 1 files
[70/1500] uploaded article 44123� with 1 files
[71/1500] uploaded article 4414 with 1 files
[72/1500] uploaded article 4416 with 1 files
[73/1500] uploaded article 4417 with 1 files
[74/1500] uploaded article 4418 with 1 files
[75/1500] uploaded article 442 with 1 files
[76/1500] uploaded article 4420 with 1 files
[77/1500] uploaded article 4420001 with 1 files
[78/1500] uploaded article 4420002 with 1 files
[79/1500] uploaded article 4420003 with 1 files
[80/1500] uploaded article 4420004 with 1 files
[81/1500] uploaded article 4420010 with 1 files
[82/1500] uploaded article 4420011 with 1 files
[83/1500] uploaded article 4420012 with 1 files
[84/1500] uploaded article 4420013 with 1 files
[85/1500] uploaded article 4420014 with 1 files
[86/1500] uploaded article 4420040 with 1 files
[87/1500] uploaded article 4420041 with 1 files
[88/1500] uploaded article 4420121 with 1 files
[90/1500] uploaded article 4420125 with 1 files
[89/1500] uploaded article 4420123 with 1 files
[91/1500] uploaded article 4422 with 1 files
[93/1500] uploaded article 4424 with 1 files
[94/1500] uploaded article 4425 with 1 files
[92/1500] uploaded article 4423 with 1 files
[98/1500] uploaded article 4439 with 1 files
[99/1500] uploaded article 444 with 1 files
[97/1500] uploaded article 4438 with 1 files
[96/1500] uploaded article 443 with 1 files
[100/1500] uploaded article 4440 with 1 files
[102/1500] uploaded article 4442 with 1 files
[101/1500] uploaded article 4441 with 1 files
[95/1500] uploaded article 4426 with 1 files
[103/1500] uploaded article 4444 with 1 files
[104/1500] uploaded article 4445 with 1 files
[105/1500] uploaded article 445 with 1 files
[106/1500] uploaded article 446 with 1 files
[108/1500] uploaded article 4466 with 1 files
[107/1500] uploaded article 4465 with 1 files
[109/1500] uploaded article 4467 with 1 files
[110/1500] uploaded article 4468 with 1 files
[112/1500] uploaded article 447 with 1 files
[111/1500] uploaded article 4469 with 1 files
[113/1500] uploaded article 4470 with 1 files
[114/1500] uploaded article 4471 with 1 files
[115/1500] uploaded article 4472 with 1 files
[116/1500] uploaded article 4473 with 1 files
[117/1500] uploaded article 4474 with 1 files
[118/1500] uploaded article 4475 with 1 files
[119/1500] uploaded article 4476 with 1 files
[120/1500] uploaded article 448 with 1 files
[121/1500] uploaded article 4486 with 1 files
[122/1500] uploaded article 4487 with 1 files
[123/1500] uploaded article 4488 with 1 files
[124/1500] uploaded article 4489 with 1 files
[125/1500] uploaded article 449 with 1 files
[126/1500] uploaded article 4490 with 1 files
